bag_t,ros_t,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,raw
1761940419.4138799,1761940419.413464,-0.017615363794283488,-0.006209410239697786,-0.006330972422099191,-1.083,0.865,9.196,1.072e-05,-9.990000000000001e-06,1.558e-05,"$VNYMR,+031.992,+006.200,+006.254,-00.0999,+00.1072,-00.1558,+00.865,-01.083,-09.196,-00.355773,-01.009286,+00.362738*62"
1761940419.4190326,1761940419.4188786,-0.01226854763079886,-0.006558127024246253,-0.004015880435791312,-0.977,0.877,10.159,1.062e-05,-9.51e-06,1.6000000000000003e-05,"$VNYMR,+032.260,+004.934,+005.829,-00.0951,+00.1062,-00.1600,+00.877,-00.977,-10.159,-00.375753,-00.702936,+00.230093*67"
1761940419.444037,1761940419.443862,-0.010143591813203243,-0.008839062917092603,-0.0030458438908253843,-0.664,0.318,8.9,1.061e-05,-8.53e-06,1.541e-05,"$VNYMR,+032.457,+004.088,+005.146,-00.0853,+00.1061,-00.1541,+00.318,-00.664,-08.900,-00.506441,-00.581185,+00.174514*6D"
1761940419.4689682,1761940419.468868,-0.014188427261285143,-0.008724935837304694,-0.0043584013014952,-0.415,0.039,8.764,1.002e-05,-7.77e-06,1.581e-05,"$VNYMR,+032.677,+003.032,+004.443,-00.0777,+00.1002,-00.1581,+00.039,-00.415,-08.764,-00.499902,-00.812937,+00.249718*6A"
1761940419.5018573,1761940419.501543,-0.01641131350321016,-0.011660073493676077,-0.003611086222376268,-0.606,-0.092,9.612,1.021e-05,-6.79e-06,1.566e-05,"$VNYMR,+032.938,+001.730,+003.605,-00.0679,+00.1021,-00.1566,-00.092,-00.606,-09.612,-00.668073,-00.940299,+00.206900*69"
1761940419.5190213,1761940419.5188494,-0.016658452125292558,-0.010701346682263071,-0.004858176332803776,0.122,-0.686,10.881,1.039e-05,-5.330000000000001e-06,1.6150000000000003e-05,"$VNYMR,+033.191,+000.369,+002.634,-00.0533,+00.1039,-00.1615,-00.686,+00.122,-10.881,-00.613142,-00.954459,+00.278353*67"
1761940419.5439963,1761940419.5438845,-0.0159678253402784,-0.007883844217476106,-0.006416092129718955,-0.315,-0.842,11.213,8.720000000000001e-06,-4.2900000000000004e-06,1.7080000000000002e-05,"$VNYMR,+033.616,-000.987,+001.939,-00.0429,+00.0872,-00.1708,-00.842,-00.315,-11.213,-00.451711,-00.914889,+00.367615*6C"
1761940419.568966,1761940419.5688558,-0.014923175969789716,-0.008546022135682755,-0.0048712313956086935,-0.495,-0.946,11.108,8.61e-06,-3.13e-06,1.736e-05,"$VNYMR,+034.031,-002.261,+001.246,-00.0313,+00.0861,-00.1736,-00.946,-00.495,-11.108,-00.489651,-00.855035,+00.279101*6F"
1761940419.5939748,1761940419.593876,-0.01450293559249452,-0.009898111253910241,-0.0037126120249647778,0.038,-1.136,11.857,8.500000000000002e-06,-1.7700000000000002e-06,1.7530000000000003e-05,"$VNYMR,+034.345,-003.480,+000.458,-00.0177,+00.0850,-00.1753,-01.136,+00.038,-11.857,-00.567120,-00.830957,+00.212717*64"
1761940419.6189945,1761940419.6188924,-0.013742321104475392,-0.011189724713556125,-0.004612957572898573,0.061,-1.538,13.056,7.51e-06,-6.2e-07,1.8350000000000002e-05,"$VNYMR,+034.709,-004.646,-000.460,-00.0062,+00.0751,-00.1835,-01.538,+00.061,-13.056,-00.641124,-00.787377,+00.264303*6B"
1761940419.6440113,1761940419.6439097,-0.011584396017309604,-0.01204374922314199,-0.004336043633777153,-1.121,-1.796,14.302,7.7e-06,1.6e-07,1.898e-05,"$VNYMR,+035.085,-005.674,-001.403,+00.0016,+00.0770,-00.1898,-01.796,-01.121,-14.302,-00.690056,-00.663737,+00.248437*60"
1761940419.6690378,1761940419.6689274,-0.008170811253089013,-0.003584103432140436,-0.0017285042780051042,0.827,-1.654,14.997,7.59e-06,1.32e-06,1.9810000000000002e-05,"$VNYMR,+035.126,-006.447,-001.935,+00.0132,+00.0759,-00.1981,-01.654,+00.827,-14.997,-00.205354,-00.468153,+00.099036*6A"
1761940419.6940532,1761940419.6939409,-0.005843676494942374,-0.0013680414275907152,-0.0016697564953829752,0.174,-1.627,15.46,7.190000000000001e-06,1.7000000000000002e-06,2.0790000000000003e-05,"$VNYMR,+035.305,-007.032,-002.077,+00.0170,+00.0719,-00.2079,-01.627,+00.174,-15.460,-00.078383,-00.334818,+00.095670*60"
1761940419.7191138,1761940419.7190015,-0.0005715255168580631,-0.0026643498229244633,-0.0017601994572213212,-0.306,-1.642,15.548,7.190000000000001e-06,1.99e-06,2.044e-05,"$VNYMR,+035.476,-007.261,-002.280,+00.0199,+00.0719,-00.2044,-01.642,-00.306,-15.548,-00.152656,-00.032746,+00.100852*6B"
1761940419.7442176,1761940419.7440739,0.0019444189597693229,-0.0031385034208137636,-0.0005090078230516262,-0.464,-1.464,14.602,7.090000000000001e-06,1.6000000000000001e-06,2.112e-05,"$VNYMR,+035.557,-007.145,-002.552,+00.0160,+00.0709,-00.2112,-01.464,-00.464,-14.602,-00.179823,+00.111407,+00.029164*6B"
1761940419.7692282,1761940419.7690916,0.004870760156710655,-0.0014748381245202483,0.0003054675256840476,-0.211,-1.16,14.619,7.000000000000001e-06,1.3100000000000002e-06,2.014e-05,"$VNYMR,+035.559,-006.885,-002.728,+00.0131,+00.0700,-00.2014,-01.160,-00.211,-14.619,-00.084502,+00.279074,-00.017502*64"
1761940419.7941496,1761940419.79401,0.007364259699157394,-0.005028555374383463,0.0011454770413763984,0.05,-1.188,13.517,6.82e-06,6.3e-07,1.9280000000000002e-05,"$VNYMR,+035.493,-006.336,-003.038,+00.0063,+00.0682,-00.1928,-01.188,+00.050,-13.517,-00.288115,+00.421941,-00.065631*6C"
1761940419.819185,1761940419.819054,0.007594224281400166,-0.006291109101983641,0.0006129072734228487,0.947,-0.962,13.368,6.92e-06,-3.4e-07,1.977e-05,"$VNYMR,+035.344,-005.725,-003.498,-00.0034,+00.0692,-00.1977,-00.962,+00.947,-13.368,-00.360454,+00.435117,-00.035117*66"
1761940419.8442614,1761940419.8441138,0.010096188670719078,-0.0049403464339876696,-0.001186527185383305,0.82,-0.891,13.16,6.740000000000001e-06,-1.3100000000000002e-06,1.76e-05,"$VNYMR,+035.369,-004.972,-003.916,-00.0131,+00.0674,-00.1760,-00.891,+00.820,-13.160,-00.283061,+00.578469,+00.067983*62"
1761940419.86942,1761940419.869213,0.013889557080173634,-0.001712604328519436,-1.2618730491919003e-05,1.184,-0.845,12.241,6.9400000000000005e-06,-2.1800000000000003e-06,1.7080000000000002e-05,"$VNYMR,+035.312,-003.950,-004.111,-00.0218,+00.0694,-00.1708,-00.845,+01.184,-12.241,-00.098125,+00.795813,+00.000723*6B"
1761940419.8945599,1761940419.8940885,0.015037355409455186,0.0042734037669230765,0.0005394987250839672,0.896,-0.824,11.497,7.15e-06,-3.24e-06,1.6470000000000003e-05,"$VNYMR,+035.217,-002.768,-003.945,-00.0324,+00.0715,-00.1647,-00.824,+00.896,-11.497,+00.244848,+00.861577,-00.030911*6D"
1761940419.9192464,1761940419.919077,0.014544980574175066,0.009623570962571534,0.00211771270119984,0.532,-0.82,10.518,7.36e-06,-4.4e-06,1.541e-05,"$VNYMR,+035.044,-001.565,-003.279,-00.0440,+00.0736,-00.1541,-00.820,+00.532,-10.518,+00.551390,+00.833366,-00.121336*62"
