bag_t,ros_t,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,raw
1761939167.1925664,1761939167.1923614,-8.447393579652555e-06,-9.435249936281346e-05,-1.4538592669112765e-05,-0.035,-0.222,9.851,2.479e-05,4.43e-06,3.381e-05,"$VNYMR,-077.706,-001.308,+000.151,+00.0443,+00.2479,-00.3381,-00.222,-00.035,-09.851,-00.005406,-00.000484,+00.000833*64"
1761939167.21222,1761939167.2120416,2.0088739690454732e-05,4.054399852382827e-05,2.0245819323134223e-06,-0.05,-0.261,9.889,2.4690000000000002e-05,4.53e-06,3.358e-05,"$VNYMR,-077.705,-001.309,+000.156,+00.0453,+00.2469,-00.3358,-00.261,-00.050,-09.889,+00.002323,+00.001151,-00.000116*67"
1761939167.2371304,1761939167.2370107,-3.506366467256608e-05,1.0698868314725242e-05,-1.7976891295541595e-06,0.013,-0.242,9.959,2.4690000000000002e-05,4.62e-06,3.38e-05,"$VNYMR,-077.706,-001.307,+000.151,+00.0462,+00.2469,-00.3380,-00.242,+00.013,-09.959,+00.000613,-00.002009,+00.000103*69"
1761939167.2621174,1761939167.2620306,5.569345643113905e-05,-2.4853488548399253e-05,5.550147021341967e-06,-0.026,-0.2,9.794,2.44e-05,4.62e-06,3.3350000000000004e-05,"$VNYMR,-077.706,-001.308,+000.155,+00.0462,+00.2440,-00.3335,-00.200,-00.026,-09.794,-00.001424,+00.003191,-00.000318*66"
1761939167.287266,1761939167.287039,-1.1676252695842065e-05,9.180431865490173e-05,1.7418385934903408e-05,-0.026,-0.214,9.91,2.4690000000000002e-05,4.62e-06,3.336e-05,"$VNYMR,-077.706,-001.308,+000.152,+00.0462,+00.2469,-00.3336,-00.214,-00.026,-09.910,+00.005260,-00.000669,-00.000998*6D"
1761939167.3121297,1761939167.311975,9.302604913129778e-06,-6.674139059626317e-05,-1.9512781037296604e-05,-0.022,-0.238,9.814,2.479e-05,4.43e-06,3.337e-05,"$VNYMR,-077.706,-001.308,+000.154,+00.0443,+00.2479,-00.3337,-00.238,-00.022,-09.814,-00.003824,+00.000533,+00.001118*60"
1761939167.3371925,1761939167.3370233,-3.2236231284335265e-05,8.192575508861383e-05,-1.3316862192716735e-05,-0.045,-0.235,10.006,2.4690000000000002e-05,4.33e-06,3.392e-05,"$VNYMR,-077.706,-001.308,+000.154,+00.0433,+00.2469,-00.3392,-00.235,-00.045,-10.006,+00.004694,-00.001847,+00.000763*60"
1761939167.36213,1761939167.3620434,4.398229715025711e-06,-6.504842122182866e-05,2.5656340004316642e-06,-0.016,-0.226,9.826,2.44e-05,4.72e-06,3.291e-05,"$VNYMR,-077.705,-001.308,+000.153,+00.0472,+00.2440,-00.3291,-00.226,-00.016,-09.826,-00.003727,+00.000252,-00.000147*69"
1761939167.3871033,1761939167.3870099,7.138396640656809e-06,7.117452689632877e-05,-3.193952531149623e-06,0.022,-0.225,9.91,2.479e-05,4.43e-06,3.348e-05,"$VNYMR,-077.707,-001.308,+000.155,+00.0443,+00.2479,-00.3348,-00.225,+00.022,-09.910,+00.004078,+00.000409,+00.000183*6C"
1761939167.412176,1761939167.4120586,2.2549653935766736e-05,-4.583234615737109e-05,1.2304571226560024e-05,-0.035,-0.232,9.847,2.527e-05,4.6300000000000006e-06,3.348e-05,"$VNYMR,-077.706,-001.308,+000.153,+00.0463,+00.2527,-00.3348,-00.232,-00.035,-09.847,-00.002626,+00.001292,-00.000705*60"
1761939167.4371512,1761939167.4370306,-2.181661564992912e-06,1.0681415022205297e-05,-3.9968039870670145e-06,-0.047,-0.247,9.883,2.449e-05,4.52e-06,3.358e-05,"$VNYMR,-077.707,-001.308,+000.156,+00.0452,+00.2449,-00.3358,-00.247,-00.047,-09.883,+00.000612,-00.000125,+00.000229*67"
1761939167.4621797,1761939167.4620826,-2.5865779514555966e-05,-2.689552377323262e-05,2.2968532956245374e-05,-0.022,-0.204,9.895,2.488e-05,4.72e-06,3.369e-05,"$VNYMR,-077.709,-001.308,+000.153,+00.0472,+00.2488,-00.3369,-00.204,-00.022,-09.895,-00.001541,-00.001482,-00.001316*63"
1761939167.4871716,1761939167.4870734,1.973967384005587e-05,-3.221877799181532e-05,-5.777039824101231e-06,-0.017,-0.22,9.861,2.478e-05,4.72e-06,3.336e-05,"$VNYMR,-077.709,-001.309,+000.154,+00.0472,+00.2478,-00.3336,-00.220,-00.017,-09.861,-00.001846,+00.001131,+00.000331*68"
1761939167.5122309,1761939167.5121171,-9.145525280450287e-06,4.1311943394705784e-05,3.17649923862968e-06,-0.0,-0.215,9.911,2.478e-05,4.72e-06,3.347e-05,"$VNYMR,-077.708,-001.309,+000.153,+00.0472,+00.2478,-00.3347,-00.215,-00.000,-09.911,+00.002367,-00.000524,-00.000182*68"
1761939167.5372894,1761939167.537128,-2.326523892908441e-05,-1.5289084247470327e-05,7.522369076095561e-06,-0.033,-0.225,9.871,2.498e-05,4.72e-06,3.3910000000000006e-05,"$VNYMR,-077.708,-001.310,+000.153,+00.0472,+00.2498,-00.3391,-00.225,-00.033,-09.871,-00.000876,-00.001333,-00.000431*62"
