bag_stamp_ns,bag_t_sec,ros_header_sec,ros_header_nanosec,ros_header_t_sec,frame_id,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,raw_vnymr
1762844106148115127,1762844106.1481154,1762844106,147660919,1762844106.147661,imu1_frame,0.174136,-0.160772,-0.420952,1.997,-2.022,-11.841,4.27e-05,-0.0001026,0.0006315,
1762844106172961194,1762844106.1729615,1762844106,172487361,1762844106.1724873,imu1_frame,-0.040954,0.0433,-0.26424,3.373,-0.109,-9.23,4.39e-05,-0.00010150000000000001,0.0006274999999999999,
1762844106197241387,1762844106.1972415,1762844106,196821595,1762844106.1968217,imu1_frame,0.105337,-0.31781,-0.086791,3.522,-0.6,-8.34,4.94e-05,-0.0001039,0.0006278000000000001,
1762844106222228079,1762844106.222228,1762844106,221885496,1762844106.2218854,imu1_frame,0.835621,-0.679305,-0.057264,2.932,-1.492,-9.869,5.15e-05,-0.00010630000000000001,0.00064,
1762844106247467355,1762844106.2474673,1762844106,246785438,1762844106.2467854,imu1_frame,0.702791,-0.374071,0.343834,2.663,1.913,-10.272,5.96e-05,-9.23e-05,0.0006282,
1762844106273371046,1762844106.2733712,1762844106,272811713,1762844106.2728117,imu1_frame,-0.037964,0.039283,0.748958,1.023,-1.91,-9.646,5.97e-05,-8.76e-05,0.0006429000000000001,
1762844106299697071,1762844106.2996972,1762844106,297774030,1762844106.297774,imu1_frame,-0.270437,0.091575,0.287168,0.043,-4.875,-8.821,5.86e-05,-8.280000000000001e-05,0.0006387000000000001,
1762844106322726139,1762844106.3227262,1762844106,322240556,1762844106.3222406,imu1_frame,0.159367,-0.144512,-0.189352,0.089,-4.37,-9.484,6.31e-05,-8.17e-05,0.0006270000000000001,
1762844106347168207,1762844106.3471684,1762844106,346839499,1762844106.3468394,imu1_frame,0.002872,-0.141328,-0.093415,0.762,-2.273,-10.347,5.97e-05,-8.52e-05,0.0006322,
1762844106371974191,1762844106.3719742,1762844106,371786024,1762844106.371786,imu1_frame,-0.162531,-0.041078,-0.17443,1.032,-3.313,-9.91,6.08e-05,-8.52e-05,0.0006442,
1762844106397394675,1762844106.397395,1762844106,397080383,1762844106.3970804,imu1_frame,-0.30978,-0.055981,-0.546044,1.387,-3.226,-9.186,6.510000000000001e-05,-9.24e-05,0.0006352,
1762844106421857409,1762844106.4218576,1762844106,421675742,1762844106.4216757,imu1_frame,-0.400644,-0.014929,-0.531539,1.648,-1.331,-9.108,6.72e-05,-0.0001007,0.0006421,
1762844106446786518,1762844106.4467866,1762844106,446650185,1762844106.4466503,imu1_frame,-0.228723,-0.064441,-0.362314,1.548,-1.692,-8.658,6.72e-05,-9.719999999999999e-05,0.0006353999999999999,
1762844106471710252,1762844106.4717102,1762844106,471568710,1762844106.4715688,imu1_frame,0.288639,-0.35212,-0.286034,1.588,-1.507,-9.283,6.950000000000001e-05,-9.25e-05,0.0006301,
1762844106496782402,1762844106.4967825,1762844106,496648236,1762844106.4966483,imu1_frame,-0.207766,0.072488,-0.170078,1.966,-0.64,-10.931,7.61e-05,-9.61e-05,0.0006278000000000001,
1762844106521712886,1762844106.521713,1762844106,521575095,1762844106.5215752,imu1_frame,-0.374262,0.355246,0.03903,1.737,-1.435,-9.778,7.049999999999999e-05,-0.000102,0.0006409,
1762844106548088411,1762844106.5480883,1762844106,547622453,1762844106.5476224,imu1_frame,-0.122801,-0.041694,-0.171042,1.853,-1.855,-8.751,7.25e-05,-0.00010910000000000001,0.0006331,
1762844106572526395,1762844106.5725265,1762844106,572096437,1762844106.5720963,imu1_frame,-0.107387,-0.147956,-0.073635,1.591,-0.88,-10.236,7.14e-05,-0.0001103,0.0006424,
1762844106597403671,1762844106.5974038,1762844106,596998879,1762844106.596999,imu1_frame,-0.184332,-0.037078,-0.065252,0.686,-2.203,-9.875,7.38e-05,-0.0001032,0.0006344,
1762844106622380238,1762844106.6223805,1762844106,622037238,1762844106.6220372,imu1_frame,-0.386621,0.097692,-0.208758,1.037,-2.208,-10.36,7.59e-05,-0.00010910000000000001,0.0006213,
1762844106648218388,1762844106.6482184,1762844106,647551514,1762844106.6475515,imu1_frame,-0.29392,0.038765,-0.257064,1.767,-1.17,-9.778,7.47e-05,-0.000115,0.0006199,
1762844106673834663,1762844106.6738348,1762844106,673035455,1762844106.6730354,imu1_frame,-0.07092,-0.130417,-0.090416,2.352,-0.312,-9.871,7.46e-05,-0.00011980000000000001,0.0006347000000000001,
1762844106697997189,1762844106.6979973,1762844106,697546815,1762844106.6975467,imu1_frame,0.060065,-0.237486,0.198658,1.901,-0.341,-9.238,8e-05,-0.0001234,0.0006257000000000001,
1762844106722919423,1762844106.7229195,1762844106,722436882,1762844106.722437,imu1_frame,-0.058131,-0.139082,0.159887,1.473,-1.673,-10.183,7.89e-05,-0.0001234,0.0006336000000000001,
1762844106748933365,1762844106.7489336,1762844106,748264615,1762844106.7482646,imu1_frame,-0.038361,-0.117707,-0.046795,1.403,-1.77,-10.251,8.14e-05,-0.0001104,0.0006336000000000001,
1762844106773625766,1762844106.7736259,1762844106,773037224,1762844106.7730372,imu1_frame,0.047606,-0.107581,0.023289,1.638,-0.939,-10.621,8.350000000000001e-05,-0.000114,0.0006217000000000001,
1762844106800544582,1762844106.8005447,1762844106,799799415,1762844106.7997994,imu1_frame,0.456698,-0.267209,0.064926,1.224,-2.54,-9.604,8.57e-05,-0.0001176,0.0006232,
1762844106823128484,1762844106.8231287,1762844106,822485318,1762844106.8224852,imu1_frame,1.013823,-0.651537,-0.091072,0.796,-2.938,-7.676,8.91e-05,-0.0001118,0.0006367,
1762844106847877968,1762844106.847878,1762844106,847278177,1762844106.847278,imu1_frame,0.970237,-1.337879,0.298041,1.513,2.282,-8.288,0.0001049,-9.900000000000001e-05,0.0006293,
1762844106872694910,1762844106.872695,1762844106,872064494,1762844106.8720646,imu1_frame,-0.188161,-0.478304,0.612081,0.954,-3.309,-13.902,0.0001161,-9.329999999999999e-05,0.0006352,
1762844106897051561,1762844106.8970518,1762844106,896482437,1762844106.8964825,imu1_frame,-0.28115,0.514506,-0.132893,0.703,-4.0,-11.494,0.0001129,-8.86e-05,0.0006296,
1762844106921695879,1762844106.9216962,1762844106,921412879,1762844106.921413,imu1_frame,-0.077141,0.429409,-0.363505,1.185,-1.665,-9.457,0.0001106,-8.97e-05,0.0006255,
1762844106946377696,1762844106.9463778,1762844106,946210030,1762844106.9462101,imu1_frame,-0.214263,0.435248,-0.062652,1.927,0.499,-9.442,0.000106,-0.0001026,0.0006321,
1762844106971390180,1762844106.9713902,1762844106,971232722,1762844106.9712327,imu1_frame,-0.433642,0.47482,0.13632,1.789,-0.36,-8.322,9.71e-05,-0.0001001,0.0006383,
1762844106996524539,1762844106.9965246,1762844106,996360122,1762844106.99636,imu1_frame,-0.30504,0.148311,0.223887,1.24,-0.425,-8.35,9.58e-05,-0.0001119,0.000633,
1762844107022132314,1762844107.0221324,1762844107,21767648,1762844107.0217676,imu1_frame,-0.302438,0.045723,0.177941,0.805,-1.924,-10.11,9.020000000000001e-05,-0.0001141,0.0006408000000000001,
1762844107048285464,1762844107.0482855,1762844107,47736506,1762844107.0477364,imu1_frame,-0.511306,0.222107,3.8e-05,1.173,-1.855,-10.441,8.92e-05,-0.000107,0.0006313,
1762844107074581072,1762844107.0745811,1762844107,73807322,1762844107.0738072,imu1_frame,-0.485649,0.211385,0.056422,1.522,-1.435,-10.084,8.47e-05,-0.000114,0.0006218,
1762844107098706806,1762844107.0987067,1762844107,97904849,1762844107.097905,imu1_frame,-0.277612,0.279729,0.116787,1.609,-0.902,-9.835,8.340000000000001e-05,-0.0001235,0.0006218,
1762844107123897415,1762844107.1238976,1762844107,123222416,1762844107.1232224,imu1_frame,-0.120759,0.241561,0.251095,1.523,-0.899,-9.185,7.98e-05,-0.00013519999999999998,0.0006298,
