bag_stamp_ns,bag_t_sec,ros_header_sec,ros_header_nanosec,ros_header_t_sec,frame_id,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,raw_vnymr
1762845177901453173,1762845177.9014533,1762845177,900702049,1762845177.900702,imu1_frame,-5.129863,-8.188816,7.101744,-1.924,4.994,4.82,-0.0001578,-0.0001473,0.0005322,
1762845177934656402,1762845177.9346566,1762845177,931485654,1762845177.9314857,imu1_frame,-3.272081,-8.356826,5.824449,-0.841,-3.647,-11.497,-7.630000000000001e-05,-0.0001749,0.0005701,
1762845177953804015,1762845177.9538043,1762845177,952249099,1762845177.952249,imu1_frame,-1.469486,-5.048713,3.562935,3.266,-5.433,-13.324,-7.9e-06,-0.0001951,0.0005766,
1762845177979516623,1762845177.9795167,1762845177,978406915,1762845177.978407,imu1_frame,-1.69491,-4.326462,1.405391,4.92,-3.719,-9.102,4.3700000000000005e-05,-0.00022090000000000003,0.0005729,
1762845178003167774,1762845178.0031679,1762845178,2086275,1762845178.0020862,imu1_frame,-1.019238,-3.330179,-0.017072,7.35,2.772,-10.715,9.35e-05,-0.0002277,0.0005489000000000001,
1762845178026476759,1762845178.0264769,1762845178,25764302,1762845178.0257642,imu1_frame,-0.015872,-2.328624,0.036701,6.638,4.026,-13.302,0.00012429999999999999,-0.00024249999999999999,0.000532,
1762845178060296279,1762845178.0602963,1762845178,59386738,1762845178.0593867,imu1_frame,-1.477011,-0.561572,0.361041,7.835,10.699,-11.209,0.0001396,-0.0002557,0.0005209,
1762845178083133515,1762845178.0831335,1762845178,80960099,1762845178.08096,imu1_frame,-2.552613,-2.156221,2.367834,4.377,4.582,-2.153,0.0001358,-0.0002793,0.000505,
1762845178102523669,1762845178.1025238,1762845178,101929836,1762845178.10193,imu1_frame,-2.592913,-3.872699,2.303571,1.637,-3.139,-3.432,0.0001396,-0.0003125,0.0004642,
1762845178127080236,1762845178.1270802,1762845178,125928779,1762845178.1259289,imu1_frame,-2.004608,-4.768468,1.29579,1.681,1.995,-8.413,0.0001548,-0.0003281,0.00042780000000000004,
1762845178151756387,1762845178.1517563,1762845178,151201012,1762845178.151201,imu1_frame,1.301866,2.431011,2.7861,3.932,4.409,-14.709,0.0001316,-0.000323,0.00043190000000000004,
1762845178176622413,1762845178.1766224,1762845178,176113288,1762845178.1761134,imu1_frame,-0.938139,1.865021,2.223373,-0.166,1.66,-6.0,8.83e-05,-0.00032690000000000003,0.00043369999999999997,
1762845178200475897,1762845178.200476,1762845178,200018398,1762845178.2000184,imu1_frame,-0.475089,1.017232,1.170222,2.626,-1.144,-7.563,4.84e-05,-0.0003261,0.0004289,
1762845178225785214,1762845178.2257853,1762845178,225237340,1762845178.2252374,imu1_frame,-0.483993,0.016114,1.175097,5.957,2.474,-10.432,2.92e-05,-0.0003412,0.0004415,
1762845178250975532,1762845178.2509756,1762845178,250447782,1762845178.2504478,imu1_frame,-0.096408,0.996945,2.059006,5.549,3.313,-14.343,5.7999999999999995e-06,-0.0003443,0.0004256,
1762845178275705974,1762845178.275706,1762845178,275136558,1762845178.2751365,imu1_frame,-0.111205,1.291969,1.520113,2.209,-1.352,-7.418,-2.61e-05,-0.00033539999999999997,0.0004292,
