t,frame_id,latitude,longitude,altitude,utm_easting,utm_northing,zone,letter,hdop,raw_gpgga
1763590170.2813318,GPS1_Frame,42.33719583333333,-71.08967216666667,9.1,327851.3774023453,4689330.566799101,19,T,0.96,"$GPGGA,220932.00,4220.23175,N,07105.38033,W,2,11,0.96,9.1,M,-33.2,M,,0000*63
"
1763590171.2799587,GPS1_Frame,42.33719083333333,-71.08971116666666,9.2,327848.15077688,4689330.090544856,19,T,0.98,"$GPGGA,220933.00,4220.23145,N,07105.38267,W,2,10,0.98,9.2,M,-33.2,M,,0000*6E
"
1763590172.279565,GPS1_Frame,42.33717716666666,-71.0897465,9.4,327845.2025757141,4689328.644501185,19,T,0.96,"$GPGGA,220934.00,4220.23063,N,07105.38479,W,2,11,0.96,9.4,M,-33.2,M,,0000*6C
"
1763590173.2789478,GPS1_Frame,42.337157,-71.08977633333333,9.5,327842.6897482289,4689326.465547707,19,T,1.0,"$GPGGA,220935.00,4220.22942,N,07105.38658,W,2,11,1.00,9.5,M,-33.2,M,,0000*68
"
1763590174.279317,GPS1_Frame,42.33713083333333,-71.08979783333334,9.6,327840.8470805504,4689323.603468604,19,T,1.0,"$GPGGA,220936.00,4220.22785,N,07105.38787,W,2,10,1.00,9.6,M,-33.2,M,,0000*6F
"
1763590175.2788765,GPS1_Frame,42.33709983333333,-71.0898085,9.8,327839.88371750596,4689320.182751137,19,T,1.0,"$GPGGA,220937.00,4220.22599,N,07105.38851,W,2,10,1.00,9.8,M,-33.2,M,,0000*6B
"
1763590176.2803555,GPS1_Frame,42.337067166666664,-71.08980783333334,9.8,327839.849494118,4689316.554016859,19,T,1.0,"$GPGGA,220938.00,4220.22403,N,07105.38847,W,2,11,1.00,9.8,M,-33.2,M,,0000*60
"
1763590177.2803268,GPS1_Frame,42.337037,-71.08979466666666,9.8,327840.8518975297,4689313.1775803,19,T,1.0,"$GPGGA,220939.00,4220.22222,N,07105.38768,W,2,10,1.00,9.8,M,-33.2,M,,0000*67
"
1763590178.279413,GPS1_Frame,42.337011,-71.08976866666667,9.7,327842.9229387224,4689310.237837694,19,T,1.0,"$GPGGA,220940.00,4220.22066,N,07105.38612,W,2,10,1.00,9.7,M,-33.2,M,,0000*68
"
1763590179.2787316,GPS1_Frame,42.33699283333333,-71.0897345,9.4,327845.68816384074,4689308.151393514,19,T,1.0,"$GPGGA,220941.00,4220.21957,N,07105.38407,W,2,10,1.00,9.4,M,-33.2,M,,0000*64
"
1763590180.279697,GPS1_Frame,42.33698433333333,-71.0896935,8.9,327849.0427293336,4689307.124525663,19,T,1.0,"$GPGGA,220942.00,4220.21906,N,07105.38161,W,2,10,1.00,8.9,M,-33.2,M,,0000*6A
"
1763590181.2796533,GPS1_Frame,42.33698666666667,-71.08965033333334,8.3,327852.6053568212,4689307.296232115,19,T,1.0,"$GPGGA,220943.00,4220.21920,N,07105.37902,W,2,10,1.00,8.3,M,-33.2,M,,0000*67
"
1763590182.2789602,GPS1_Frame,42.3369995,-71.08961016666667,7.9,327855.94948220765,4689308.639958781,19,T,0.96,"$GPGGA,220944.00,4220.21997,N,07105.37661,W,2,10,0.96,7.9,M,-33.2,M,,0000*6D
"
1763590183.2793877,GPS1_Frame,42.3370215,-71.08957733333334,7.7,327858.7144669041,4689311.016421384,19,T,0.96,"$GPGGA,220945.00,4220.22129,N,07105.37464,W,2,10,0.96,7.7,M,-33.2,M,,0000*6B
"
