t,frame_id,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,raw_vnymr
1763590172.7504675,imu1_Frame,0.037773,0.029186,-0.272747,0.558,0.25,-10.355,2.653e-05,-7.91e-06,3.5770000000000005e-05,"$VNYMR,+066.172,+003.948,+002.132,+00.2653,-00.0791,+00.3577,+00.558,+00.250,-10.355,+00.037773,+00.029186,-00.272747*6E
"
1763590172.770655,imu1_Frame,0.042078,-0.003052,-0.280091,0.882,0.186,-9.447,2.6300000000000002e-05,-8.02e-06,3.563e-05,"$VNYMR,+065.775,+003.952,+002.173,+00.2630,-00.0802,+00.3563,+00.882,+00.186,-09.447,+00.042078,-00.003052,-00.280091*60
"
1763590172.8010173,imu1_Frame,0.032894,0.011598,-0.273002,0.679,0.259,-9.63,2.7000000000000002e-05,-7.8e-06,3.5520000000000006e-05,"$VNYMR,+065.382,+003.959,+002.203,+00.2700,-00.0780,+00.3552,+00.679,+00.259,-09.630,+00.032894,+00.011598,-00.273002*62
"
1763590172.8204274,imu1_Frame,0.034959,-0.030722,-0.267507,0.779,0.439,-9.539,2.642e-05,-7.670000000000001e-06,3.642000000000001e-05,"$VNYMR,+064.988,+003.963,+002.225,+00.2642,-00.0767,+00.3642,+00.779,+00.439,-09.539,+00.034959,-00.030722,-00.267507*6C
"
1763590172.851152,imu1_Frame,0.02996,-0.041567,-0.270856,0.784,0.531,-9.141,2.8170000000000003e-05,-7.6e-06,3.596e-05,"$VNYMR,+064.590,+003.966,+002.239,+00.2817,-00.0760,+00.3596,+00.784,+00.531,-09.141,+00.029960,-00.041567,-00.270856*6E
"
1763590172.8714254,imu1_Frame,0.021919,-0.014426,-0.276056,0.892,0.762,-9.418,2.6540000000000003e-05,-7.31e-06,3.655e-05,"$VNYMR,+064.193,+003.975,+002.243,+00.2654,-00.0731,+00.3655,+00.892,+00.762,-09.418,+00.021919,-00.014426,-00.276056*6E
"
1763590172.9012175,imu1_Frame,0.022953,-0.029206,-0.28065,0.826,0.949,-9.316,2.701e-05,-7.2e-06,3.591e-05,"$VNYMR,+063.792,+003.981,+002.239,+00.2701,-00.0720,+00.3591,+00.826,+00.949,-09.316,+00.022953,-00.029206,-00.280650*6D
"
1763590172.921009,imu1_Frame,0.014528,0.007526,-0.278856,1.003,0.792,-9.254,2.724e-05,-7.57e-06,3.6320000000000005e-05,"$VNYMR,+063.388,+003.992,+002.230,+00.2724,-00.0757,+00.3632,+01.003,+00.792,-09.254,+00.014528,+00.007526,-00.278856*60
"
1763590172.9508853,imu1_Frame,0.023266,0.027534,-0.283641,0.846,1.051,-9.818,2.7470000000000003e-05,-7.330000000000001e-06,3.567e-05,"$VNYMR,+062.983,+004.007,+002.227,+00.2747,-00.0733,+00.3567,+00.846,+01.051,-09.818,+00.023266,+00.027534,-00.283641*67
"
1763590172.9704995,imu1_Frame,0.030151,0.014954,-0.278378,0.795,1.142,-9.819,2.759e-05,-6.5000000000000004e-06,3.58e-05,"$VNYMR,+062.583,+004.018,+002.238,+00.2759,-00.0650,+00.3580,+00.795,+01.142,-09.819,+00.030151,+00.014954,-00.278378*6E
"
