t,frame_id,latitude,longitude,altitude,utm_easting,utm_northing,zone,letter,hdop,raw_gpgga
1763590343.2788372,GPS1_Frame,42.336985,-71.08961716666667,8.1,327855.33322514745,4689307.0440156255,19,T,0.96,"$GPGGA,221225.00,4220.21910,N,07105.37703,W,2,11,0.96,8.1,M,-33.2,M,,0000*6C
"
1763590344.2801754,GPS1_Frame,42.336995,-71.08958416666667,7.6,327858.07919734786,4689308.087632041,19,T,0.96,"$GPGGA,221226.00,4220.21970,N,07105.37505,W,2,11,0.96,7.6,M,-33.2,M,,0000*65
"
1763590345.2798886,GPS1_Frame,42.33700983333333,-71.08955733333333,7.3,327860.3303200563,4689309.680438274,19,T,0.96,"$GPGGA,221227.00,4220.22059,N,07105.37344,W,2,11,0.96,7.3,M,-33.2,M,,0000*63
"
1763590346.279637,GPS1_Frame,42.337029666666666,-71.08953933333333,7.1,327861.86735630734,4689311.846339326,19,T,0.99,"$GPGGA,221228.00,4220.22178,N,07105.37236,W,2,11,0.99,7.1,M,-33.2,M,,0000*67
"
1763590347.2799087,GPS1_Frame,42.337053833333336,-71.0895315,7.0,327862.5786416206,4689314.514005686,19,T,0.96,"$GPGGA,221229.00,4220.22323,N,07105.37189,W,2,11,0.96,7.0,M,-33.2,M,,0000*63
"
1763590348.279645,GPS1_Frame,42.337081166666664,-71.08953633333333,7.2,327862.25503276417,4689317.558948695,19,T,0.95,"$GPGGA,221230.00,4220.22487,N,07105.37218,W,2,10,0.95,7.2,M,-33.2,M,,0000*69
"
1763590349.2801263,GPS1_Frame,42.337108666666666,-71.08955266666666,7.3,327860.98446021514,4689320.6456795735,19,T,0.95,"$GPGGA,221231.00,4220.22652,N,07105.37316,W,2,10,0.95,7.3,M,-33.2,M,,0000*6C
"
1763590350.2800617,GPS1_Frame,42.3371355,-71.08957566666666,7.3,327859.1628416942,4689323.671878742,19,T,0.99,"$GPGGA,221232.00,4220.22813,N,07105.37454,W,2,10,0.99,7.3,M,-33.2,M,,0000*69
"
1763590351.279105,GPS1_Frame,42.3371625,-71.08959733333333,7.4,327857.4515251702,4689326.713886219,19,T,0.99,"$GPGGA,221233.00,4220.22975,N,07105.37584,W,2,10,0.99,7.4,M,-33.2,M,,0000*62
"
1763590352.2792819,GPS1_Frame,42.3371905,-71.08961483333333,7.4,327856.08620619134,4689329.858501207,19,T,0.95,"$GPGGA,221234.00,4220.23143,N,07105.37689,W,2,10,0.95,7.4,M,-33.2,M,,0000*6B
"
1763590353.2798371,GPS1_Frame,42.33722083333333,-71.0896275,7.4,327855.12544542545,4689333.252430343,19,T,0.95,"$GPGGA,221235.00,4220.23325,N,07105.37765,W,2,11,0.95,7.4,M,-33.2,M,,0000*6A
"
1763590354.2798355,GPS1_Frame,42.337252666666664,-71.08963683333333,7.1,327854.4433923804,4689336.8061748855,19,T,0.99,"$GPGGA,221236.00,4220.23516,N,07105.37821,W,2,11,0.99,7.1,M,-33.2,M,,0000*69
"
1763590355.2791724,GPS1_Frame,42.337286,-71.08964566666667,6.7,327853.8066253185,4689340.525470853,19,T,1.07,"$GPGGA,221237.00,4220.23716,N,07105.37874,W,2,11,1.07,6.7,M,-33.2,M,,0000*6B
"
